get me some Bread, from Adaobi at Google
get me some Juice, from Chibuzor at Yahoo
get me some Ice cream, from Kizito at Facebook
get me some Bananas, from Sandra at Shopify
get me some Oranges, from Chukwuemeka at Pintrest
get me some Sugar, from Amaka at Linkedin
get me some Butter, from Okoro at Tweeter
get me some Paste, from Joy at Youtube
get me some Books, from Ajarosi at Amazon
get me some Pens, from Favor at Pi-Network
get me some Caps, from Ben at Tiktok
get me some Chips, from Ekene at Oracle
get me some Nukes, from Ebube at Myspace
get me some Laptops, from Chiamaka at Apple
get me some Cup cakes, from Ben at Disord
get me some Eggs, from Gift at Toptal
get me some Utensils, from Chidimma at Jobberman
get me some Bitcoin, from Udenkwo at Paypal
get me some Etherum, from John at Binance
get me some Shoes, from Marcus at Turing
get me some Courses, from Abike at Udemy
get me some Wood, from Mercy at Andela
get me some Android, from Harold at Tesla
get me some Vaseline, from Christian at Microsoft
get me some Boots, from Mike at Pluralsight
get me some Cars, from Okonkwo at Coursera
get me some Movies, from  Dera at Netflix
get me some NFTs, from Jin at Nas-Academy
get me some GPUs, from Ken-Jee at Nividia,
get me some TPUs, from Obafemi at Instagram
get me some CPUs, from Hadiza at Whatsapp
get me some Flasks, from Amina at Telegram
get me some Chairs, from Zainab at Snapchat
get me some Games, from Chukwuka at Sony
get me some Inverters, from Yinka at Zoom
get me some Notepads, from Ekene at Ebay
get me some Pants, from Samuel at Jumia
get me some Sneakers, from Kolarov at Baidu
get me some Jerseys, from Marcus at Yandex
get me some Flower pots, from Elon at SpaceX
get me some Ideas, from Andrei at ZTM
get me some Ginger, from Frank at Sundog
get me some Polos, from Ronke at Unity
get me some Cuff-links, from Lancelot at Dell
get me some Art-works, from Daniel at HP
